7.1.1.1	Chapter 1: Studying Life
7.6.3.5.10.2	When the protein was inserted into oocytes, which do not normally have it, the water permeability of the oocytes was greatly increased.
7.6.3.5.11.1	HYPOTHESIS Aquaporin increases membrane permeability to water.
7.6.3.5.11.2	METHOD RESULTS
7.6.3.5.12.1	CONCLUSION Aquaporin increases the rate of water diffusion across the cell membrane.
7.6.3.5.13.1	work with the data
7.6.3.5.14.1	Although diffusion can account for limited water movement across cell membranes, simple diffusion seemed unlikely to explain the considerable water movement in kidney and red blood cells.
7.6.3.5.14.2	By chance, Peter Agre and his colleagues found a major membrane protein, CHIP28, shared by these two cell types, and hypothesized that it was responsible for cell membrane water transport.
7.6.3.5.14.3	So they did a    what if  ? experiment, taking the mRNA for CHIP28 and injecting it into frog oocytes that do not normally make the protein.
7.6.3.5.15.1	QUESTIONS
7.6.3.5.16.1	Frog oocytes in isotonic liquid were injected with either a small amount of water (control) or with CHIP28 mRNA in a small amount of water.
7.6.3.5.16.2	The oocytes were then transferred to a hypotonic medium, and changes in relative cell volume were measured by microscopy.
7.6.3.5.16.3	Table A shows the results.
7.6.3.5.17.1	Table A Cell volume Time (min) CHIP28 mRNA Water only (control) 0 1.0 1.0 0.5 1.05 1.0 1 1.15 1.02 1.5 1.23 2 1.32 1.02 2.5 1.36 3 1.41 1.02 4 (burst) 1.03
7.6.3.5.18.1	Plot the data on a graph of relative cell volume versus time after injection.
7.6.3.5.18.2	How do the mRNA and control eggs compare?
7.6.3.5.18.3	What explains the increase in the volume of the mRNA-injected oocytes?
7.6.3.5.18.4	What explains the situation with both cells at 4 minutes after injection?
7.6.3.5.19.1	Water permeability (Pf) was calculated by the rate of osmotic swelling.
7.6.3.5.19.2	Table B shows the results when increasing amounts of CHIP28 mRNA were injected.
7.6.3.5.20.1	A similar work with the data exercise may be assigned in LaunchPad.
7.6.3.5.21.1	Table B Amount of mRNA (ng) Pf (cm/sec    10   4)a 0 13.7 (3.3) 0.1 50.0 (10.1) 0.5 112 (29.2) 2.0 175 (38.4) 10.0 221 (14.8)
7.6.3.5.22.1	a Numbers in parentheses indicate +/    standard deviation.
7.6.3.5.23.1	What can you conclude from these data?
7.6.3.5.23.2	What statistical test (see Appendix B) would you do to show the significance of your conclusion?
7.6.3.5.24.1	To further investigate the role of CHIP28 in water transport, oocytes were given a known inhibitor of protein-mediated water transport, mercuric chloride, and then tested for water permeability with CHIP28 mRNA.
7.6.3.5.24.2	Some of the eggs were also treated with mercaptoethanol, a molecule that overcomes the inhibition of water transport by mercuric chloride.
7.6.3.5.24.3	The question was, would the inhibitor actually block water transport mediated by CHIP28, and would mercaptoethanol restore transport?
7.6.3.5.24.4	The results are shown in Table C.
7.6.3.5.25.1	Table C mRNA injected Mercuric chloride Mercapto-ethanol Pf (cm/sec    10   4) None None None 27.9 None Yes None 20.3 None Yes Yes 25.4 CHIP28 None None 210 CHIP28 Yes None 80.7 CHIP28 Yes Yes 188
7.6.3.5.26.1	What can you conclude about the molecular nature of water transport mediated by CHIP28 mRNA?
7.6.3.5.26.2	What data support your conclusion?
7.6.3.5.26.3	Explain all the controls that were done.
7.6.3.5.27.1	6.3 recap
7.6.3.5.28.1	Diffusion is the movement of ions or molecules from a region of greater concentration to a region of lesser concentration.
7.6.3.5.28.2	Osmosis is the diffusion of water through a selectively permeable cell membrane.
7.6.3.5.28.3	Channel proteins and carrier proteins can facilitate the diffusion of charged and polar substances, including water, across cell membranes.
7.6.3.5.29.1	learning outcomes
7.6.3.5.30.1	You should be able to:
7.6.3.5.31.1	Predict rates of diffusion of substances under different conditions.
7.6.3.5.32.1	Predict the effect of different environmental conditions on the movement of water into and out of living cells.
7.6.3.5.33.1	Explain the role of channel proteins in facilitating diffusion across membranes.
7.6.3.5.34.1	What properties determine whether, and how fast, a substance will diffuse across a membrane?
7.6.3.5.35.1	What is the effect on red blood cells if the kidney removes too many ions from the blood and makes it hypotonic to the cells?
7.6.3.5.36.1	Cells in the nervous system may have a higher concentration of K+ ions inside the cell than outside.
7.6.3.5.36.2	What is the role of the cell membrane in maintaining this imbalance?
7.6.3.5.36.3	How can K+ membrane channels eliminate this imbalance?
7.6.3.5.37.1	The process of diffusion tends to equalize the concentrations of substances outside and inside cells.
7.6.3.5.37.2	However, one hallmark of a living cell is that it can have an internal composition quite different from that of its environment.
7.6.3.5.37.3	To achieve this, a cell must sometimes move substances against their concentration gradients.
7.6.3.5.37.4	This process requires an input of energy and is known as active transport.
7.6.3.5.38.1	Chapter 6 continues with
7.6.3.5.39.1	6.4  Active Transport across Membranes Requires Energy
7.6.4.1.1	Active transport is directional
7.6.4.2.1	Different energy sources distinguish different active transport systems
7.6.4.3.1	In many biological situations, the concentration of a particular ion or small molecule inside the cell differs from that outside the cell.
7.6.4.3.2	Such imbalances are maintained by a protein in the cell membrane that moves the substance against its concentration and/or electrical gradient.
7.6.4.3.3	Movement of molecules or ions against a gradient is called active transport because it requires an input of energy.
7.6.4.3.4	Often the energy source is adenosine triphosphate (ATP), which has chemical energy stored in its terminal phosphate bond.
7.6.4.3.5	In eukaryotes, ATP is produced in the mitochondria.
7.6.4.3.6	Energy is released in a hydrolysis reaction that breaks the terminal phosphate bond of ATP, converting it to adenosine diphosphate (ADP).
7.6.4.3.7	We will detail how ATP provides energy to cells in Key Concept 8.2.
7.6.4.4.1	The differences between diffusion and active transport are summarized in Table 6.1.
7.6.4.5.1	table 6.1 Membrane Transport Mechanisms Simple diffusion Facilitated diffusion (through channel or carrier) Active transport Cellular energy required?
7.6.4.5.2	No No Yes Driving force Concentration gradient Concentration gradient ATP hydrolysis (against concentration gradient) Membrane protein required?
7.6.4.5.3	No Yes Yes Specificity No Yes Yes
7.6.4.6.1	focus your learning
7.6.4.7.1	Active transport requires energy to move a substance against its concentration gradient.
7.6.4.8.1	Three kinds of membrane proteins are involved in active transport: uniporters, symporters, and antiporters.
7.6.4.9.1	Primary active transport uses ATP hydrolysis directly to provide the energy for transport, whereas secondary active transport uses an ion concentration gradient that was established by ATP hydrolysis.
7.6.4.1.1.1	In diffusion, ions or molecules can move down their concentration gradients in either direction across the cell membrane.
7.6.4.1.1.2	In contrast, active transport is directional, and moves a substance either into or out of the cell or organelle, depending on need.
7.6.4.1.1.3	There are three kinds of membrane proteins that carry out active transport (Figure 6.13): Figure 6.13 Three Types of Proteins for Active Transport
7.6.4.1.2.1	A uniporter moves a single substance in one direction.
7.6.4.1.2.2	For example, a calcium-binding protein found in the cell membrane and the ER membranes of many cells actively transports Ca2+ to locations where it is more highly concentrated, either outside the cell or inside the lumen of the ER.
7.6.4.1.3.1	A symporter moves two substances in the same direction.
7.6.4.1.3.2	For example, a symporter in the cells that line the intestine must bind Na+ in addition to an amino acid in order to absorb amino acids from the intestine.
7.6.4.1.4.1	An antiporter moves two substances in opposite directions, one into the cell (or organelle) and the other out of the cell (or organelle).
7.6.4.1.4.2	For example, many cells have a sodium   potassium pump that moves Na+ out of the cell and K+ into it.
7.6.4.1.5.1	Symporters and antiporters are also known as coupled transporters because they move two substances at once.
7.6.4.2.1.1	There are two basic types of active transport:
7.6.4.2.2.1	Primary active transport involves the direct hydrolysis of ATP, which provides the energy required for transport.
7.6.4.2.3.1	Secondary active transport does not use ATP directly.
7.6.4.2.3.2	Instead, its energy is supplied by an ion concentration gradient established by primary (ATP-driven) active transport.
7.6.4.2.4.1	In primary active transport, energy released by the hydrolysis of ATP drives the movement of specific ions against their concentration gradients.
7.6.4.2.4.2	For example, we mentioned earlier that concentrations of potassium ions (K+) inside a cell are often much higher than in the fluid bathing the cell.
7.6.4.2.4.3	However, the concentration of sodium ions (Na+) is often much higher outside the cell.
7.6.4.2.4.4	A protein in the cell membrane pumps Na+ out of the cell and K+ into the cell against these concentration gradients, ensuring that the gradients are maintained (Figure 6.14).
7.6.4.2.4.5	This sodium   potassium (Na+   K+) pump is found in all animal cells.
7.6.4.2.4.6	The pump is an integral membrane glycoprotein.
7.6.4.2.4.7	It breaks down a molecule of ATP to ADP and a free phosphate ion (Pi) and uses the energy released to bring two K+ ions into the cell and export three Na+ ions.
7.6.4.2.4.8	The Na+   K+ pump is thus an antiporter because it moves two substances in different directions.
7.6.4.2.4.9	Figure 6.14 Primary Active Transport: The Sodium   Potassium Pump
7.6.4.2.5.1	In active transport, energy is used to move a solute against its concentration gradient.
7.6.4.2.5.2	Here, energy from ATP is used to move Na+ and K+ against their concentration gradients.
7.6.4.2.6.1	An important drug used to treat a weak heart inhibits the Na+   K+ pump.
7.6.4.2.6.2	Digitalis, purified from the foxglove plant, blocks the release of phosphate ions (Pi) from the protein (see Figure 6.14, step 4).
7.6.4.2.6.3	This    freezes  ? the shape of the pump, and it can no longer bind Na+.
7.6.4.2.6.4	So Na+ accumulates inside heart cells.
7.6.4.2.6.5	This ultimately leads to a greater force of contraction of heart muscle, which aids a patient whose heart is not pumping well.
7.6.4.2.7.1	In secondary active transport, the movement of a substance against its concentration gradient is accomplished using energy    regained  ? by letting ions move across the membrane with their concentration gradients.
7.6.4.2.7.2	Think of it this way: A large dam may prevent a river from flowing.
7.6.4.2.7.3	The accumulated water represents energy, and when the water is allowed to flow past the dam, the energy it releases can be used to drive turbines that make electricity.
7.6.4.2.7.4	It   s similar for secondary active transport.
7.6.4.2.7.5	Consider, for example, the absorption of glucose into the bloodstream from the digestive tract.
7.6.4.2.7.6	Once the Na+   K+ pump establishes a concentration gradient of sodium ions, the passive diffusion of some Na+ back into the cell can provide energy for the secondary active transport of glucose into the cell (Figure 6.15).
7.6.4.2.7.7	Secondary active transport aids in the uptake of amino acids and sugars, which are essential raw materials for cell maintenance and growth.
7.6.4.2.7.8	Both types of coupled transport proteins   symporters and antiporters   are used for secondary active transport.
7.6.4.2.8.1	Figure 6.15 Secondary Active Transport
7.6.4.2.9.1	The Na+ concentration gradient established by primary active transport by the sodium-potassium pump (left) powers the secondary active transport of glucose (right).
7.6.4.2.9.2	A symporter protein couples the movement of glucose across the membrane against its concentration gradient to the passive movement of Na+ into the cell.
7.6.4.2.10.1	Q: If the Na+-K+ pump is blocked by a drug, how will intercellular concentrations of Na+ and glucose be affected?
7.6.4.2.11.1	6.4 recap
7.6.4.2.12.1	Active transport across a membrane is directional and requires an input of energy to move substances against their concentration gradients.
7.6.4.2.12.2	Active transport allows a cell to maintain small molecules and ions at concentrations very different from those in the surrounding environment.
7.6.4.2.13.1	learning outcomes
7.6.4.2.14.1	You should be able to:
7.6.4.2.15.1	Compare and contrast diffusion and active transport.
7.6.4.2.16.1	Explain why active transport requires energy.
7.6.4.2.17.1	Describe and give examples of the different types of proteins that carry out active transport.
7.6.4.2.18.1	Differentiate between primary and secondary active transport.
7.6.4.2.19.1	Why is energy required for active transport?
7.6.4.2.20.1	Why is the sodium   potassium (Na+   K+) pump classified as an antiporter?
7.6.4.2.21.1	What are the differences between primary active transport and secondary active transport?
7.6.4.2.22.1	What are the similarities and differences between active transport and facilitated diffusion?
7.6.4.2.23.1	We have examined a number of passive and active ways in which ions and small molecules can enter and leave cells.
7.6.4.2.23.2	But what about large molecules such as proteins?
7.6.4.2.23.3	Many proteins are so large that they diffuse very slowly, and their bulk makes it difficult for them to pass through the phospholipid bilayer.
7.6.4.2.23.4	A completely different mechanism is needed to move intact large molecules across membranes.
7.6.4.2.24.1	Chapter 6 continues with
7.6.4.2.25.1	6.5  Large Molecules Enter and Leave a Cell through Vesicles
7.6.5.1.1	Macromolecules and particles enter the cell by endocytosis
7.6.5.2.1	Receptor-mediated endocytosis is highly specific
7.6.5.3.1	Exocytosis moves materials out of the cell
7.6.5.4.1	Macromolecules such as proteins, polysaccharides, and nucleic acids are simply too large and too charged or polar to pass through biological membranes.
7.6.5.4.2	This is actually fortunate   think of the consequences if such molecules diffused out of cells: A red blood cell would not retain its hemoglobin!
7.6.5.4.3	As you saw in Chapter 5, the development of a selectively permeable membrane was essential for the functioning of the first cells when life on Earth began.
7.6.5.4.4	The interior of a cell can be maintained as a separate compartment with a different composition from that of the exterior environment, which is subject to abrupt changes.
7.6.5.4.5	However, cells must sometimes take up or secrete (release to the external environment) intact large molecules.
7.6.5.4.6	In Key Concept 5.3 we described phagocytosis, the mechanism by which solid particles can be brought into the cell by means of vesicles that pinch off from the cell membrane.
7.6.5.4.7	The general terms for the mechanisms by which substances enter and leave the cell via membrane vesicles are endocytosis and exocytosis.
7.6.5.5.1	focus your learning
7.6.5.6.1	Three types of endocytosis occur in cells.
7.6.5.7.1	Cells take in specific molecules from the environment through receptor-mediated endocytosis.
7.6.5.8.1	Exocytosis is the process by which substances are secreted by a cell.
7.6.5.1.1.1	Endocytosis is a general term for a group of processes that bring small molecules, macromolecules, large particles, and even small cells into the eukaryotic cell (Figure 6.16A).
7.6.5.1.1.2	We described an example of endocytosis earlier in the chapter, involving integrins (see Figure 6.8).
7.6.5.1.1.3	Generally, there are three types of endocytosis: phagocytosis, pinocytosis, and receptor-mediated endocytosis.
7.6.5.1.1.4	In all three, the cell membrane invaginates (folds inward), forming a small pocket around materials from the environment.
7.6.5.1.1.5	The pocket deepens, forming a vesicle.
7.6.5.1.1.6	This vesicle separates from the cell membrane and migrates with its contents to the cell   s interior.
7.6.5.1.2.1	Figure 6.16 Endocytosis and Exocytosis
7.6.5.1.3.1	Endocytosis (A) and exocytosis (B) are used by eukaryotic cells to take up and release fluids, large molecules, and particles.
7.6.5.1.3.2	Smaller cells, such as invading bacteria, can be taken up by endocytosis.
7.6.5.1.4.1	In phagocytosis (   cellular eating  ?), part of the cell membrane engulfs large particles or even entire cells.
7.6.5.1.4.2	Unicellular protists use phagocytosis for feeding, and some white blood cells use phagocytosis to defend the body by engulfing foreign cells and substances.
7.6.5.1.4.3	The food vacuole or phagosome that forms usually fuses with a lysosome, where its contents are digested (see Figure 5.10).
7.6.5.1.5.1	In pinocytosis (   cellular drinking  ?), vesicles also form.
7.6.5.1.5.2	However, these vesicles are smaller, and the process operates to bring fluids and dissolved substances into the cell.
7.6.5.1.5.3	Like phagocytosis, pinocytosis can be relatively nonspecific regarding what it brings into the cell.
7.6.5.1.5.4	For example, pinocytosis occurs constantly in the endothelium, the single layer of cells that separates a tiny blood capillary from the surrounding tissue.
7.6.5.1.5.5	Pinocytosis allows cells of the endothelium to rapidly acquire fluids and dissolved solutes from the blood.
7.6.5.1.6.1	In receptor-mediated endocytosis, molecules at the cell surface recognize and trigger the uptake of specific materials.
7.6.5.1.7.1	Let   s take a closer look at this last process.
7.6.5.2.1.1	Receptor-mediated endocytosis is used by animal cells to capture specific macromolecules from the cell   s environment.
7.6.5.2.1.2	This process depends on receptor proteins, which are proteins that can bind to specific molecules within the cell or in the cell   s external environment.
7.6.5.2.1.3	In receptor-mediated endocytosis, the receptors are integral membrane proteins located at particular regions on the extracellular surface of the cell membrane.
7.6.5.2.1.4	These membrane regions are called coated pits because they form slight depressions in the cell membrane and their cytoplasmic surfaces are coated by other proteins, such as clathrin.
7.6.5.2.1.5	The uptake process is similar to that in phagocytosis.
7.6.5.2.2.1	When a receptor protein binds to its specific ligand (in this case, the macromolecule to be taken into the cell), its coated pit invaginates and forms a coated vesicle around the bound macromolecule.
7.6.5.2.2.2	The clathrin molecules strengthen and stabilize the vesicle, which carries the macromolecule away from the cell membrane and into the cytoplasm (Figure 6.17).
7.6.5.2.2.3	Once inside, the vesicle loses its clathrin coat and may fuse with a lysosome, where the engulfed material is digested (by the hydrolysis of polymers to monomers) and the products are released into the cytoplasm.
7.6.5.2.2.4	Because of its specificity for particular macromolecules, receptor-mediated endocytosis is an efficient method of taking up substances that may exist at low concentrations in the cell   s environment.
7.6.5.2.2.5	Figure 6.17 Receptor-Mediated Endocytosis
7.6.5.2.3.1	The receptor proteins in a coated pit bind specific macromolecules, which are then carried into the cell by a coated vesicle.
7.6.5.2.4.1	Receptor-mediated endocytosis is the method by which cholesterol is taken up by most mammalian cells.
7.6.5.2.4.2	Water-insoluble cholesterol and triglycerides are packaged by liver cells into lipoprotein particles.
7.6.5.2.4.3	Most of the cholesterol is packaged into a type of lipoprotein particle called low-density lipoprotein, or LDL, which is circulated via the bloodstream.
7.6.5.2.4.4	When a particular cell requires cholesterol, it produces specific LDL receptors, which are inserted into the cell membrane in clathrin-coated pits.
7.6.5.2.4.5	Binding of LDLs to the receptor proteins triggers the uptake of the LDLs via receptor-mediated endocytosis.
7.6.5.2.4.6	Within the resulting vesicle, the LDL particles are freed from the receptors.
7.6.5.2.4.7	The receptors segregate to a region that buds off and forms a new vesicle, which is recycled to the cell membrane.
7.6.5.2.4.8	The freed LDL particles remain in the original vesicle, which fuses with a lysosome.
7.6.5.2.4.9	There, the LDLs are digested and the cholesterol made available for cell use.
7.6.5.2.5.1	In healthy individuals, the liver takes up unused LDLs for recycling.
7.6.5.2.5.2	People with the inherited disease familial hypercholesterolemia have a deficient LDL receptor in their livers.
7.6.5.2.5.3	This prevents receptor-mediated endocytosis of LDLs, resulting in dangerously high levels of cholesterol in the blood.
7.6.5.2.5.4	The cholesterol builds up in the arteries that nourish the heart and causes heart attacks.
7.6.5.2.5.5	In extreme cases where only the deficient receptor is present, children and teenagers can have severe cardiovascular disease.
7.6.5.3.1.1	Exocytosis is the process by which materials packaged in vesicles are secreted from a cell when the vesicle membrane fuses with the cell membrane (Figure 6.16B).
7.6.5.3.1.2	This fusing allows the vesicle contents to be released into the environment, and the vesicle membrane is smoothly incorporated into the cell membrane.
7.6.5.3.1.3	In another form of exocytosis, the vesicle touches the cell membrane and a pore forms, releasing the vesicle   s contents.
7.6.5.3.1.4	There is no membrane fusion in this process, termed    kiss and run.  ?
7.6.5.3.1.5	We saw an example of exocytosis in describing sweat glands at the start of the chapter.
7.6.5.3.2.1	Table 6.2 summarizes examples of endocytosis and exocytosis.
7.6.5.3.3.1	table 6.2 Endocytosis and Exocytosis Type of process Example Endocytosis Receptor-mediated endocytosis Specific uptake of large molecules (e. g. , LDL) Pinocytosis Nonspecific uptake of extracellular fluid (e. g. , fluids and dissolved substances from blood) Phagocytosis Nonspecific uptake of large undissolved particles (e. g. , invading bacteria by cells of the immune system) Exocytosis Release of large molecules Vesicle fusion with cell membrane (e. g. , digestive enzymes in the pancreas) Release of small molecules Vesicle fusion with cell membrane (e. g. , neurotransmitters at the synapse)
7.6.5.3.4.1	6.5 recap
7.6.5.3.5.1	Endocytosis and exocytosis are the processes by which large particles and molecules are transported into and out of the cell.
7.6.5.3.5.2	Endocytosis may be mediated by a receptor protein in the cell membrane.
7.6.5.3.6.1	learning outcomes
7.6.5.3.7.1	You should be able to:
7.6.5.3.8.1	Compare and contrast the three types of endocytosis.
7.6.5.3.9.1	Describe the process of receptor-mediated endocytosis.
7.6.5.3.10.1	Provide examples of processes that involve endocytosis and/or exocytosis.
7.6.5.3.11.1	What are the differences between phagocytosis and pinocytosis?
7.6.5.3.12.1	Describe receptor-mediated endocytosis and give an example of a process involving this phenomenon.
7.6.5.3.13.1	Key Concept 27.2 describes the diatoms, which are protists that have complex glassy structures in their cell walls (see Figure 27.8 and the photo below of eight diatom cells inside their ornate cell walls).
7.6.5.3.13.2	These structures form within the Golgi apparatus.
7.6.5.3.13.3	How do they reach the cell wall without having to pass through a membrane?
7.6.5.3.14.1	investigatinglife
7.6.5.3.15.1	What is the importance of aquaporin membrane channels?
7.6.5.3.16.1	There are a dozen genes encoding aquaporins in humans, each channel having its particular location in the body.
7.6.5.3.16.2	Genetic deficiency resulting in a lack of one of the aquaporins can have significant consequences.
7.6.5.3.16.3	For example, one of the aquaporins occurs in the part of the kidney where water is removed from the developing urine and returned to the blood.
7.6.5.3.16.4	When this aquaporin is absent, there is more water in urine and the person urinates more and more often; bedwetting is a common result.
7.6.5.3.16.5	In plants, aquaporins occur in the cell membrane and tonoplast (membrane that encloses the vacuole).
7.6.5.3.16.6	In the cell membranes of root cells, aquaporins form channels for water on its way from the soil to the interior tissues of the root, from which it is transported to the rest of the plant.
7.6.5.3.16.7	In the vacuole, aquaporin channels are important in the organelle swelling, resulting in turgor pressure, which is important in plant organ structure and plant cell expansion.
7.6.5.3.16.8	All of these aquaporins, and those of other organisms, share a common structure that spans the cell membrane and has a channel through which water molecules pass in single file.
7.6.5.3.17.1	Future directions
7.6.5.3.18.1	A fascinating role for aquaporins is not just in the transport of water across membranes, but in the accompanying transport of substances dissolved in it.
7.6.5.3.18.2	For example, in plants boron is an important nutrient, and it does not diffuse efficiently across membranes.
7.6.5.3.18.3	Soil water containing boron ions passes readily into plants through aquaporin channels.
7.6.5.3.18.4	Even gases such as CO2 may pass in and out of cells via aquaporins while dissolved in water.
7.6.5.3.18.5	Efforts are under way to insert aquaporins into synthetic membranes used for industrial applications.
7.6.5.3.18.6	Because aquaporins allow only water and low concentrations of ions to pass through, such membranes could be used to purify contaminated fresh water, or to desalinate water, which as you know has very high ion concentrations.
7.6.5.3.18.7	Aquaporins are expressed in skin, where they play a role in keeping the skin moist.
7.6.5.3.18.8	This is also a goal of some cosmetics (moisturizers) and has led to a search for, and patenting of, small molecules that stimulate aquaporins.
7.6.5.3.18.9	These molecules are components of some widely marketed skin creams.
7.6.5.3.19.1	Chapter 6 continues with
7.6.5.3.20.1	Chapter Summary
7.6.summary.1.1	6.1
7.6.summary.2.1	Biological Membranes Are Lipid   Protein Bilayers
7.6.summary.3.1	Biological membranes consist of lipids, proteins, and carbohydrates.
7.6.summary.3.2	The fluid mosaic model of membrane structure describes a phospholipid bilayer in which proteins can move about within the plane of the membrane.
7.6.summary.3.3	Review Activity 6.1
7.6.summary.4.1	The two layers of a membrane may have different properties because of their different lipid compositions.
7.6.summary.4.2	Animal cell membranes may contain high concentrations of cholesterol (up to 25%).
7.6.summary.4.3	Review Activity 6.2
7.6.summary.5.1	The properties of membranes also depend on the integral membrane proteins and peripheral membrane proteins associated with them.
7.6.summary.5.2	Some proteins, called transmembrane proteins, span the membrane.
7.6.summary.5.3	Review Focus: Key Figure 6.1
7.6.summary.6.1	Carbohydrates, attached to proteins in glycoproteins or to phospholipids in glycolipids, project from the external surface of the cell membrane and function as recognition signals.
7.6.summary.7.1	Membranes are not static structures, but are constantly forming, exchanging components, and breaking down. 6.2
7.6.summary.8.1	Cell Membrane Is Important in Cell  Adhesion and Recognition
7.6.summary.9.1	In order for cells to assemble into tissues, they must recognize and adhere to one another.
7.6.summary.9.2	Cell recognition and cell adhesion depend on membrane-associated proteins and carbohydrates.
7.6.summary.9.3	Review Figure 6.6
7.6.summary.10.1	Adhesion can involve binding between identical (homotypic) or different (heterotypic) molecules on adjacent cells.
7.6.summary.11.1	Cell junctions connect adjacent cells.
7.6.summary.11.2	In some animal cells, tight junctions prevent the passage of molecules through the intercellular spaces between cells, and they restrict the migration of membrane proteins over the cell surface.
7.6.summary.11.3	Desmosomes cause cells to adhere firmly to one another.
7.6.summary.11.4	Gap junctions provide channels for communication between adjacent cells.
7.6.summary.11.5	Review Figure 6.7, Activity 6.3
7.6.summary.12.1	Integrins mediate the attachment of animal cells to the extracellular matrix and to each other.
7.6.summary.12.2	Detachment and recycling of integrins allow cells to move.
7.6.summary.12.3	Review Figure 6.8 6.3
7.6.summary.13.1	Substances Can Cross Membranes  by Passive Processes
7.6.summary.14.1	See Animation 6.1
7.6.summary.15.1	Membranes exhibit selective permeability, regulating which substances pass through them.
7.6.summary.15.2	Substances can cross the membrane by either passive transport, which requires no input of chemical energy, or by active transport, which uses chemical energy.
7.6.summary.15.3	Review Figure 6.9
7.6.summary.16.1	Diffusion is the movement of a solute from a region of higher concentration to a region of lower concentration.
7.6.summary.16.2	Equilibrium is reached when there is no further net change in concentration.
7.6.summary.17.1	In osmosis, water diffuses across a membrane from a region of higher water concentration to a region of lower water concentration.
7.6.summary.18.1	In an isotonic environment, total solute concentrations on both sides of the cell membrane are equal.
7.6.summary.18.2	If the solution surrounding a cell is hypotonic to the cell interior, more water enters the cell than leaves it, causing it to swell.
7.6.summary.18.3	In plant cells, this contributes to turgor pressure.
7.6.summary.18.4	In a hypertonic solution, more water leaves the cell than enters it, causing it to shrivel.
7.6.summary.18.5	Review Figure 6.10
7.6.summary.19.1	A substance can diffuse passively across a membrane by either simple diffusion or facilitated diffusion, via a channel protein or a carrier protein.
7.6.summary.20.1	Ion channels are membrane proteins that allow the rapid facilitated diffusion of ions through membranes.
7.6.summary.20.2	Gated channels can be opened or closed by chemical ligands, or changes in membrane voltage, or mechanical stimuli.
7.6.summary.20.3	Review Figure 6.11
7.6.summary.21.1	Aquaporins are water channels.
7.6.summary.21.2	Review Investigating Life: Aquaporins Increase Membrane Permeability to Water
7.6.summary.22.1	Carrier proteins bind to polar molecules such as sugars and amino acids and transport them across the membrane.
7.6.summary.22.2	The maximum rate of this type of facilitated diffusion is limited by the number of carrier (transporter) proteins in the membrane.
7.6.summary.22.3	Review Figure 6.12 6.4
7.6.summary.23.1	Active Transport across Membranes  Requires Energy
7.6.summary.24.1	See Animation 6.2
7.6.summary.25.1	Active transport requires the use of chemical energy to move substances across membranes against their concentration or electrical gradients.
7.6.summary.25.2	Active transport proteins may be uniporters, symporters, or antiporters.
7.6.summary.25.3	Review Figure 6.13
7.6.summary.26.1	In primary active transport, energy from the hydrolysis of ATP is used to move ions into or out of cells.
7.6.summary.26.2	The sodium   potassium pump is an important example.
7.6.summary.26.3	Review Figure 6.14
7.6.summary.27.1	Secondary active transport couples the passive movement of one substance down its concentration gradient to the movement of another substance against its concentration gradient.
7.6.summary.27.2	Energy from ATP is used indirectly to establish the concentration gradient that results in the movement of the first substance.
7.6.summary.27.3	Review Figure 6.15 6.5
7.6.summary.28.1	Large Molecules Enter and Leave  a Cell through Vesicles
7.6.summary.29.1	See Animation 6.3
7.6.summary.30.1	Endocytosis is the transport of small molecules, macromolecules, large particles, and small cells into eukaryotic cells via invagination of the cell membrane and the formation of vesicles.
7.6.summary.30.2	Phagocytosis and pinocytosis are types of endocytosis.
7.6.summary.30.3	Review Figure 6.16A
7.6.summary.31.1	In exocytosis, materials in vesicles are secreted from the cell when the vesicles fuse with the cell membrane.
7.6.summary.31.2	Review Figure 6.16B
7.6.summary.32.1	In receptor-mediated endocytosis, a specific receptor protein on the cell membrane binds to a particular macromolecule.
7.6.summary.32.2	Review Figure 6.17
7.6.summary.33.1	Go to LearningCurve (in LaunchPad) for dynamic quizzing that helps you solidify your understanding of this chapter.
7.6.summary.33.2	LearningCurve adapts to your responses, giving you the practice you need to master each key concept.
7.6.summary.34.1	Apply What You   ve Learned
7.6.summary.35.1	Review
7.6.summary.36.1	6.1 The degree of a membrane   s fluidity is influenced by lipid composition and temperature.
7.6.summary.37.1	Original Paper: Cossins, A. R. and C. L. Prosser. 1978.
7.6.summary.37.2	Evolutionary adaptation of membranes to temperature.
7.6.summary.37.3	Proceedings of the National Academy of Sciences USA. 75: 2040   2043.
7.6.summary.38.1	Fish are poikilotherms, animals having body temperatures that change with their environment.
7.6.summary.38.2	Depending on where you go in the world, you can find fish at all extremes of body temperature.
7.6.summary.38.3	Desert pupfish native to desert springs in California and Mexico tolerate temperatures as high as 42&#x00B0;C.
7.6.summary.38.4	At the other extreme is the Arctic sculpin, which can tolerate water temperatures as low as &#x2212;2&#x00B0;C.
7.6.summary.38.5	Goldfish live at more moderate temperatures ranging from 5&#x00B0;C to 25&#x00B0;C.
7.6.summary.39.1	A research group saw this range as an interesting opportunity to run a comparative study of the fluidity and composition of cell membranes.
7.6.summary.39.2	They included rats and hamsters in the study, because rats maintain a constant body temperature of 37&#x00B0;C and represent the high end of the temperature range.
7.6.summary.39.3	The researchers kept each animal at a specific temperature for several days.
7.6.summary.39.4	Arctic sculpin were held at 0&#x00B0;C.
7.6.summary.39.5	One group of goldfish was held at 5&#x00B0;C, and another was held at 25&#x00B0;C.
